trial,trial_type,event_type,absolute_time,response_time,response,result
5,angry_low,11,680.2012,NA,NA,NA
5,angry_low,12,680.5514,0.34740000000010696,left,correct
5,angry_low,6,681.5685999999998,NA,NA,NA
5,angry_low,7,681.9508000000001,0.3725000000000591,left,correct
5,angry_low,9,682.3873999999998,NA,27,correct angry
5,angry_low,3,683.9006999999999,NA,NA,NA
6,sad_high,5,686.4290999999998,NA,NA,high
6,sad_high,11,687.6375999999999,NA,NA,NA
6,sad_high,12,688.0505999999998,0.4073000000000775,right,correct
6,sad_high,6,689.0705,NA,NA,NA
6,sad_high,7,689.7373,0.6664999999999281,left,incorrect
6,sad_high,9,689.8833999999999,NA,-50,wrong sad
6,sad_high,3,691.4038999999999,NA,NA,NA
7,angry_low,5,694.4260999999999,NA,NA,low
7,angry_low,11,695.6368999999999,NA,NA,NA
7,angry_low,12,696.5210999999998,0.880800000000022,left,correct
7,angry_low,6,697.5330999999999,NA,NA,NA
7,angry_low,7,698.2814999999999,0.7442000000002054,left,correct
7,angry_low,9,698.3350999999999,NA,-19,correct angry
7,angry_low,3,699.8362,NA,NA,NA
8,sad_high,5,701.8415,NA,NA,high
8,sad_high,11,703.0525,NA,NA,NA
8,sad_high,12,703.3992,0.3363999999999123,right,correct
8,sad_high,6,704.4193999999999,NA,NA,NA
8,sad_high,7,704.8305999999999,0.403699999999958,right,correct
8,sad_high,9,705.2337,NA,24,correct sad
8,sad_high,3,706.7357,NA,NA,NA
9,sad_high,5,709.2578000000001,NA,NA,high
9,sad_high,11,710.4676999999999,NA,NA,NA
9,sad_high,12,710.7980999999999,0.3209999999999127,right,correct
9,sad_high,6,711.8015999999999,NA,NA,NA
9,sad_high,7,711.9465,0.13949999999999818,right,correct
9,sad_high,9,712.6176999999999,NA,57,correct sad
9,sad_high,3,714.1175,NA,NA,NA
10,angry_low,5,716.6433999999999,NA,NA,low
10,angry_low,11,717.8463,NA,NA,NA
10,angry_low,12,720.0638999999999,2.2148999999999432,left,correct
10,angry_low,6,721.08,NA,NA,NA
10,angry_low,7,721.4956999999999,0.4050999999998339,left,correct
10,angry_low,9,721.8823,NA,23,correct angry
10,angry_low,3,723.3958,NA,NA,NA
11,angry_low,5,726.4223999999999,NA,NA,low
11,angry_low,11,727.6324999999999,NA,NA,NA
11,angry_low,12,728.0677,0.4318000000000666,left,correct
11,angry_low,6,729.0790999999998,NA,NA,NA
11,angry_low,7,729.3275,0.24120000000004893,left,correct
11,angry_low,9,729.8980999999999,NA,44,correct angry
11,angry_low,3,731.3990999999999,NA,NA,NA
12,angry_low,5,733.9042,NA,NA,low
12,angry_low,11,735.1318,NA,NA,NA
12,angry_low,12,735.7325999999998,0.5968000000002576,left,correct
12,angry_low,6,736.7445999999999,NA,NA,NA
12,angry_low,7,737.1147,0.36960000000010496,left,correct
12,angry_low,9,737.5623,NA,29,correct angry
12,angry_low,3,739.0640999999998,NA,NA,NA
13,sad_high,5,741.0681999999999,NA,NA,high
13,sad_high,11,742.2933,NA,NA,NA
